Region Name	Region Type	Data Type	Apr-10	May-10	Jun-10	Jul-10	Aug-10	Sep-10	Oct-10	Nov-10	Dec-10	Jan-11	Feb-11	Mar-11	Apr-11	May-11	Jun-11	Jul-11	Aug-11	Sep-11	Oct-11	Nov-11	Dec-11	Jan-12	Feb-12	Mar-12	Apr-12	May-12	Jun-12	Jul-12	Aug-12	Sep-12	Oct-12	Nov-12	Dec-12	Jan-13	Feb-13	Mar-13	Apr-13	May-13	Jun-13	Jul-13	Aug-13	Sep-13	Oct-13	Nov-13	Dec-13	Jan-14	Feb-14	Mar-14	Apr-14	May-14	Jun-14	Jul-14	Aug-14	Sep-14	Oct-14	Nov-14	Dec-14	Jan-15	Feb-15	Mar-15	Apr-15	May-15	Jun-15	Jul-15	Aug-15	Sep-15	Oct-15	Nov-15	Dec-15	Jan-16	Feb-16	Mar-16	Apr-16	May-16	Jun-16	Jul-16	Aug-16	Sep-16	Oct-16	Nov-16	Dec-16	Jan-17	Feb-17	Mar-17	Apr-17	May-17	Jun-17	Jul-17	Aug-17	Sep-17	Oct-17	Nov-17	Dec-17	Jan-18	Feb-18	Mar-18	Apr-18	May-18	Jun-18	Jul-18	Aug-18	Sep-18	Oct-18	Nov-18	Dec-18	Jan-19	Feb-19	Mar-19	Apr-19	May-19	Jun-19	Jul-19	Aug-19	Sep-19	Oct-19	Nov-19	Dec-19	Jan-20	Feb-20	Mar-20
Austin	city	All Homes	$233,300 	$233,400 	$233,100 	$232,600 	$231,400 	$230,400 	$229,700 	$229,000 	$228,300 	$227,800 	$227,100 	$226,500 	$226,000 	$225,400 	$224,800 	$224,300 	$224,900 	$225,500 	$226,000 	$226,100 	$226,300 	$226,900 	$227,800 	$229,000 	$230,000 	$231,300 	$232,800 	$234,400 	$235,800 	$236,900 	$237,900 	$238,500 	$240,200 	$242,200 	$244,900 	$247,300 	$250,500 	$253,600 	$256,400 	$259,100 	$261,300 	$263,900 	$266,600 	$270,500 	$273,300 	$275,900 	$277,800 	$280,000 	$282,000 	$284,200 	$286,600 	$288,500 	$290,900 	$293,400 	$296,100 	$298,300 	$300,200 	$301,800 	$303,500 	$305,000 	$306,600 	$308,100 	$310,000 	$312,800 	$315,900 	$318,500 	$320,200 	$321,600 	$323,900 	$327,000 	$329,700 	$332,000 	$333,700 	$335,300 	$336,600 	$338,000 	$338,600 	$339,600 	$341,200 	$343,700 	$345,500 	$346,000 	$346,800 	$348,400 	$350,700 	$352,500 	$353,700 	$354,200 	$354,500 	$355,400 	$357,000 	$359,100 	$361,000 	$362,500 	$363,500 	$364,200 	$364,500 	$365,400 	$367,100 	$369,100 	$371,600 	$372,700 	$374,500 	$374,800 	$376,200 	$377,500 	$380,200 	$381,400 	$382,400 	$382,900 	$384,000 	$385,300 	$386,600 	$388,900 	$390,200 	$392,500 	$394,400 	$396,800 	$398,700 	$402,000
Allandale	neighborhood	All Homes	$340,700 	$339,900 	$338,700 	$337,600 	$336,300 	$335,400 	$334,800 	$334,600 	$334,700 	$335,500 	$335,400 	$335,400 	$335,200 	$336,200 	$337,100 	$338,100 	$339,100 	$341,300 	$342,800 	$345,300 	$345,900 	$346,800 	$346,800 	$348,300 	$350,000 	$351,400 	$354,000 	$356,600 	$360,300 	$362,700 	$364,800 	$365,600 	$369,400 	$372,800 	$378,900 	$383,900 	$391,200 	$398,000 	$403,400 	$408,800 	$412,600 	$416,700 	$421,100 	$427,800 	$433,300 	$440,400 	$445,100 	$450,000 	$452,100 	$454,800 	$457,200 	$459,400 	$463,000 	$468,700 	$473,800 	$476,300 	$476,200 	$473,900 	$473,400 	$474,100 	$476,900 	$479,300 	$482,600 	$488,000 	$493,800 	$497,800 	$499,700 	$501,300 	$506,100 	$512,800 	$517,900 	$519,900 	$520,600 	$521,200 	$522,700 	$522,200 	$519,200 	$516,500 	$517,500 	$522,100 	$524,200 	$525,300 	$526,900 	$530,600 	$533,900 	$536,700 	$537,500 	$537,900 	$537,200 	$538,700 	$541,600 	$545,200 	$549,500 	$551,300 	$552,300 	$552,800 	$553,700 	$555,900 	$559,400 	$564,300 	$570,600 	$573,000 	$575,300 	$575,200 	$579,100 	$582,800 	$588,600 	$589,800 	$591,200 	$591,400 	$593,500 	$595,100 	$597,000 	$601,100 	$604,100 	$608,200 	$609,500 	$612,800 	$615,100 	$621,300
Barton Creek	neighborhood	All Homes	$1,019,100 	$1,021,200 	$1,017,800 	$1,014,700 	$1,006,700 	$1,001,100 	$996,600 	$992,600 	$988,200 	$986,400 	$983,800 	$980,900 	$977,600 	$972,800 	$971,100 	$968,600 	$972,100 	$972,100 	$971,200 	$969,400 	$968,800 	$970,000 	$972,200 	$975,600 	$977,200 	$980,600 	$985,200 	$990,300 	$995,100 	$1,000,400 	$1,007,600 	$1,011,600 	$1,021,200 	$1,028,400 	$1,040,600 	$1,051,500 	$1,067,300 	$1,081,400 	$1,090,700 	$1,097,200 	$1,100,600 	$1,106,900 	$1,113,400 	$1,125,600 	$1,133,000 	$1,142,500 	$1,146,400 	$1,150,600 	$1,153,000 	$1,157,400 	$1,166,600 	$1,177,300 	$1,192,800 	$1,209,100 	$1,222,600 	$1,230,000 	$1,233,900 	$1,237,400 	$1,241,800 	$1,245,100 	$1,246,200 	$1,246,100 	$1,246,900 	$1,253,200 	$1,258,900 	$1,261,200 	$1,259,800 	$1,260,900 	$1,266,300 	$1,274,600 	$1,279,600 	$1,284,500 	$1,287,200 	$1,290,900 	$1,291,600 	$1,289,700 	$1,278,100 	$1,267,800 	$1,262,900 	$1,266,400 	$1,267,000 	$1,261,200 	$1,259,900 	$1,262,700 	$1,269,100 	$1,271,800 	$1,271,500 	$1,269,400 	$1,269,700 	$1,272,500 	$1,278,300 	$1,283,000 	$1,289,900 	$1,294,900 	$1,297,200 	$1,294,300 	$1,288,200 	$1,284,700 	$1,287,600 	$1,290,800 	$1,298,800 	$1,300,100 	$1,305,700 	$1,304,800 	$1,312,200 	$1,319,200 	$1,329,600 	$1,332,100 	$1,336,700 	$1,340,200 	$1,344,800 	$1,350,600 	$1,353,600 	$1,361,100 	$1,363,300 	$1,370,100 	$1,370,200 	$1,373,200 	$1,374,700 	$1,384,600
Barton Hills	neighborhood	All Homes	$377,600 	$378,800 	$379,200 	$379,000 	$376,400 	$376,200 	$376,300 	$377,100 	$375,100 	$374,400 	$374,700 	$374,400 	$374,400 	$372,700 	$372,600 	$371,600 	$374,900 	$376,900 	$378,800 	$379,300 	$381,100 	$384,100 	$387,300 	$391,400 	$394,900 	$399,000 	$402,600 	$405,800 	$408,100 	$410,000 	$412,000 	$413,200 	$416,700 	$420,500 	$425,500 	$429,500 	$434,800 	$440,200 	$445,700 	$452,800 	$457,000 	$461,600 	$465,800 	$473,800 	$480,200 	$486,200 	$489,400 	$494,000 	$498,100 	$502,800 	$507,200 	$509,100 	$515,000 	$521,900 	$530,900 	$536,300 	$540,000 	$541,100 	$543,900 	$545,900 	$548,400 	$550,500 	$552,600 	$558,100 	$560,300 	$561,900 	$561,400 	$563,400 	$567,300 	$572,700 	$577,400 	$581,200 	$584,100 	$587,100 	$590,700 	$593,400 	$594,600 	$595,500 	$597,400 	$600,000 	$601,500 	$602,300 	$605,100 	$609,100 	$613,500 	$615,100 	$615,800 	$615,500 	$615,600 	$616,600 	$618,400 	$621,900 	$625,600 	$628,400 	$627,900 	$626,500 	$622,200 	$621,300 	$622,700 	$626,300 	$632,200 	$634,600 	$637,200 	$637,000 	$640,300 	$646,200 	$652,000 	$654,800 	$658,500 	$662,000 	$665,500 	$667,900 	$668,900 	$672,500 	$675,700 	$680,200 	$682,300 	$683,000 	$685,100 	$690,100
Bouldin Creek	neighborhood	All Homes	$351,000 	$350,600 	$350,600 	$352,300 	$353,300 	$353,800 	$353,600 	$353,100 	$352,000 	$352,800 	$353,200 	$353,500 	$352,800 	$353,700 	$354,200 	$354,000 	$352,800 	$354,000 	$354,900 	$356,300 	$357,300 	$358,300 	$361,100 	$365,000 	$370,800 	$375,300 	$380,700 	$383,600 	$386,800 	$386,900 	$389,400 	$391,600 	$397,400 	$402,700 	$408,400 	$411,800 	$415,400 	$418,800 	$422,100 	$427,600 	$434,400 	$443,800 	$451,500 	$460,100 	$466,100 	$474,700 	$481,400 	$490,100 	$497,400 	$505,000 	$512,700 	$520,300 	$527,600 	$533,300 	$537,400 	$540,300 	$542,600 	$540,200 	$539,000 	$538,600 	$542,100 	$545,900 	$548,700 	$553,500 	$556,900 	$560,000 	$561,900 	$564,100 	$567,500 	$574,800 	$580,800 	$585,200 	$584,900 	$584,600 	$585,200 	$585,200 	$586,400 	$586,500 	$589,700 	$593,200 	$596,900 	$597,300 	$598,400 	$600,800 	$605,500 	$608,500 	$609,100 	$606,500 	$603,300 	$605,400 	$610,000 	$616,200 	$620,600 	$623,300 	$623,400 	$621,200 	$620,500 	$622,700 	$628,300 	$634,200 	$641,200 	$642,500 	$644,100 	$643,100 	$647,400 	$654,000 	$665,000 	$671,400 	$675,700 	$677,200 	$680,300 	$684,800 	$688,600 	$694,600 	$698,400 	$703,700 	$705,500 	$707,000 	$706,300 	$710,300
Brentwood	neighborhood	All Homes	$277,300 	$277,100 	$276,600 	$276,800 	$276,300 	$275,200 	$274,200 	$272,200 	$270,200 	$269,100 	$268,400 	$268,300 	$268,800 	$269,300 	$269,900 	$269,800 	$271,400 	$274,200 	$276,900 	$279,000 	$280,100 	$281,500 	$282,800 	$284,300 	$285,700 	$287,000 	$288,800 	$290,700 	$293,200 	$294,000 	$294,800 	$294,900 	$297,800 	$300,500 	$304,300 	$308,300 	$313,900 	$319,400 	$323,700 	$327,900 	$330,500 	$333,500 	$336,600 	$342,400 	$346,900 	$352,000 	$355,500 	$359,100 	$362,000 	$365,600 	$369,900 	$372,300 	$375,200 	$379,600 	$384,500 	$388,300 	$390,200 	$390,400 	$391,100 	$391,400 	$391,800 	$391,800 	$392,600 	$396,400 	$401,900 	$406,000 	$408,300 	$408,900 	$411,000 	$415,600 	$419,900 	$423,700 	$425,500 	$426,800 	$428,100 	$429,300 	$430,000 	$430,300 	$431,700 	$434,100 	$436,500 	$437,100 	$437,800 	$439,700 	$443,500 	$446,500 	$447,900 	$448,200 	$445,900 	$445,900 	$446,000 	$449,000 	$450,900 	$452,100 	$451,900 	$451,200 	$449,600 	$450,300 	$452,800 	$455,000 	$458,000 	$459,000 	$461,400 	$461,100 	$461,300 	$461,600 	$463,700 	$464,900 	$466,000 	$465,800 	$466,000 	$467,000 	$469,000 	$471,900 	$473,900 	$476,700 	$480,100 	$484,400 	$488,500 	$493,800
Bryker Woods	neighborhood	All Homes	$488,100 	$488,400 	$488,300 	$487,900 	$485,900 	$486,700 	$487,700 	$488,000 	$486,000 	$487,400 	$488,500 	$490,000 	$489,400 	$489,300 	$489,500 	$490,100 	$490,100 	$489,300 	$487,700 	$489,600 	$491,300 	$493,100 	$495,900 	$500,200 	$505,700 	$510,300 	$513,300 	$515,900 	$517,600 	$520,000 	$522,800 	$524,400 	$530,100 	$535,200 	$541,500 	$545,300 	$552,300 	$559,500 	$566,900 	$574,000 	$587,600 	$601,800 	$615,000 	$621,600 	$624,800 	$629,200 	$634,300 	$641,900 	$647,000 	$649,900 	$654,800 	$657,200 	$663,600 	$668,300 	$676,300 	$685,700 	$694,100 	$699,200 	$701,300 	$703,400 	$706,800 	$715,400 	$723,300 	$735,100 	$733,700 	$731,200 	$725,900 	$726,800 	$730,600 	$736,500 	$743,500 	$748,700 	$752,000 	$751,400 	$749,800 	$749,300 	$753,500 	$759,900 	$765,400 	$770,000 	$772,900 	$774,600 	$776,900 	$781,200 	$783,800 	$783,700 	$782,900 	$781,300 	$778,500 	$777,300 	$781,600 	$789,000 	$793,900 	$795,100 	$793,800 	$791,300 	$790,000 	$793,700 	$800,300 	$807,000 	$817,600 	$824,200 	$827,300 	$823,000 	$825,700 	$832,600 	$842,400 	$842,300 	$841,700 	$837,900 	$838,000 	$838,400 	$836,300 	$836,900 	$838,500 	$845,200 	$848,700 	$851,800 	$854,400 	$865,900
Central East Austin	neighborhood	All Homes	$226,900 	$227,200 	$227,300 	$227,500 	$227,300 	$225,900 	$224,300 	$222,000 	$221,000 	$221,400 	$221,400 	$221,700 	$221,000 	$219,600 	$218,800 	$218,500 	$218,800 	$219,900 	$221,000 	$222,800 	$223,500 	$224,300 	$226,100 	$228,500 	$231,300 	$233,900 	$235,700 	$237,400 	$238,700 	$238,800 	$238,200 	$237,000 	$238,900 	$240,500 	$243,000 	$245,300 	$250,000 	$254,800 	$259,600 	$265,400 	$272,100 	$279,200 	$285,800 	$292,600 	$297,100 	$302,100 	$306,900 	$313,300 	$318,600 	$323,800 	$329,600 	$332,600 	$335,800 	$339,800 	$346,400 	$352,000 	$357,600 	$361,900 	$364,900 	$365,200 	$365,100 	$366,300 	$368,500 	$373,300 	$377,200 	$380,800 	$382,300 	$384,900 	$388,300 	$392,800 	$397,700 	$401,900 	$405,200 	$406,100 	$405,400 	$403,600 	$401,500 	$400,700 	$401,100 	$403,100 	$404,200 	$403,800 	$402,400 	$402,500 	$404,000 	$406,300 	$408,400 	$410,900 	$412,600 	$414,000 	$416,200 	$419,100 	$420,700 	$422,200 	$424,000 	$426,500 	$427,400 	$429,800 	$433,400 	$439,600 	$445,200 	$448,300 	$449,800 	$450,200 	$453,300 	$457,100 	$461,700 	$463,700 	$465,800 	$466,400 	$467,500 	$466,700 	$466,900 	$469,100 	$472,200 	$475,400 	$477,500 	$479,400 	$480,800 	$483,800
Chestnut	neighborhood	All Homes	$233,400 	$234,500 	$235,300 	$236,100 	$236,300 	$233,400 	$230,300 	$226,300 	$224,700 	$224,500 	$224,600 	$225,500 	$225,200 	$225,000 	$224,500 	$224,900 	$224,800 	$225,700 	$227,300 	$228,800 	$229,900 	$230,000 	$231,700 	$233,900 	$237,800 	$240,100 	$241,500 	$242,700 	$244,800 	$246,400 	$246,600 	$247,100 	$249,400 	$251,500 	$254,300 	$256,100 	$260,400 	$264,800 	$269,700 	$274,000 	$278,200 	$283,400 	$288,800 	$294,600 	$298,800 	$304,800 	$309,700 	$315,700 	$319,000 	$323,000 	$327,000 	$330,500 	$334,100 	$337,900 	$342,900 	$347,200 	$351,100 	$353,700 	$355,900 	$356,600 	$357,100 	$357,400 	$359,600 	$363,800 	$369,200 	$373,200 	$375,600 	$377,200 	$380,500 	$383,400 	$386,400 	$388,200 	$390,400 	$391,600 	$391,900 	$390,700 	$389,000 	$388,700 	$389,600 	$392,200 	$392,800 	$393,400 	$393,200 	$395,500 	$397,700 	$400,500 	$401,800 	$403,800 	$404,600 	$405,600 	$406,900 	$408,600 	$410,300 	$411,500 	$412,800 	$413,800 	$413,700 	$415,700 	$419,000 	$422,800 	$425,900 	$427,500 	$430,300 	$431,100 	$433,100 	$435,100 	$439,400 	$441,000 	$442,500 	$441,500 	$442,100 	$442,100 	$443,500 	$446,000 	$447,200 	$449,700 	$451,800 	$454,200 	$455,200 	$458,100
Coronado Hills	neighborhood	All Homes	$148,300 	$148,400 	$149,200 	$149,400 	$149,100 	$148,600 	$148,400 	$148,400 	$147,400 	$145,700 	$144,800 	$143,700 	$143,700 	$142,800 	$140,900 	$138,500 	$138,300 	$138,800 	$139,500 	$138,700 	$138,400 	$139,000 	$140,000 	$142,000 	$141,700 	$141,400 	$140,400 	$141,100 	$141,800 	$143,600 	$144,900 	$146,300 	$147,700 	$149,800 	$150,800 	$151,100 	$152,300 	$154,200 	$156,900 	$159,000 	$159,500 	$159,500 	$159,300 	$161,700 	$163,600 	$164,800 	$165,800 	$167,900 	$170,900 	$174,100 	$176,700 	$178,600 	$180,800 	$183,100 	$186,900 	$189,100 	$190,700 	$191,000 	$193,000 	$194,300 	$195,300 	$196,500 	$199,300 	$203,100 	$206,200 	$208,700 	$209,900 	$211,200 	$213,300 	$217,000 	$219,600 	$221,900 	$223,700 	$225,500 	$225,600 	$226,600 	$229,800 	$233,600 	$236,900 	$239,300 	$241,600 	$242,700 	$243,600 	$244,800 	$246,800 	$248,600 	$250,600 	$250,600 	$248,200 	$245,700 	$244,300 	$245,400 	$246,400 	$247,900 	$249,800 	$251,400 	$251,600 	$251,300 	$251,900 	$253,500 	$255,700 	$257,100 	$259,500 	$260,400 	$261,700 	$261,900 	$262,900 	$262,500 	$262,800 	$263,000 	$263,600 	$264,100 	$264,800 	$266,200 	$266,400 	$266,800 	$266,900 	$268,000 	$268,500 	$270,100
